ALGO COMBO, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR & DESCRIPTOR TIME(ms), TOTAL TIME ELAPSED(ms)
SHITOMASI+BRISK, 31887, 155648, 1671, 277.485, 2518.83
SHITOMASI+BRIEF, 31887, 77824, 2128, 247.771, 2216.62
SHITOMASI+ORB, 31887, 77824, 2021, 251.351, 2280.11
SHITOMASI+FREAK, 31887, 155648, 1721, 960.216, 8632.33
SHITOMASI+SIFT, 31887, 311296, 2079, 615.431, 5586.09
HARRIS+BRISK, 3315, 25408, 258, 284.328, 2580.3
HARRIS+BRIEF, 3315, 12704, 325, 272.804, 2493.45
HARRIS+ORB, 3315, 12704, 294, 276.298, 2502.49
HARRIS+FREAK, 3315, 25408, 262, 954.187, 8592.9
HARRIS+SIFT, 3315, 50816, 316, 576.822, 5209.14
FAST+BRISK, 31709, 183680, 1911, 67.799, 627.379
FAST+BRIEF, 31709, 91840, 2343, 53.1526, 501.676
FAST+ORB, 31709, 91840, 2283, 54.9554, 512.433
FAST+FREAK, 31709, 183680, 1912, 752.637, 6786.02
FAST+SIFT, 31709, 367360, 2251, 562.1, 5124.36
BRISK+BRISK, 50645, 332288, 3328, 872.547, 7794.72
BRISK+BRIEF, 50645, 166144, 3486, 899.323, 7996.73
BRISK+ORB, 50645, 166144, 3214, 899.753, 8029.54
BRISK+FREAK, 50645, 305856, 3175, 1601.9, 14339.9
BRISK+SIFT, 50645, 664576, 3376, 2043.94, 18399.3
ORB+BRISK, 8500, 104960, 1260, 201.742, 1813.65
ORB+BRIEF, 8500, 55744, 884, 178.182, 1608.83
ORB+ORB, 8500, 55744, 1243, 259.357, 2318.85
ORB+FREAK, 8500, 63104, 757, 869.696, 7782.82
ORB+SIFT, 8500, 222976, 1297, 1327.32, 12275.7
AKAZE+BRISK, 26295, 208128, 2545, 1471.94, 13284.9
AKAZE+BRIEF, 26295, 104064, 2698, 1486.57, 13287.6
AKAZE+ORB, 26295, 104064, 2517, 1519.45, 13786.7
AKAZE+FREAK, 26295, 208128, 2530, 2199.76, 19760.1
AKAZE+AKAZE, 26295, 198372, 2697, 2720.41, 24504.8
AKAZE+SIFT, 26295, 416256, 2766, 2050.85, 18387.9
SIFT+BRISK, 33526, 197760, 1614, 2636.73, 24122.9
SIFT+BRIEF, 33526, 98880, 1867, 2600.31, 23615.8
SIFT+FREAK, 33526, 196736, 1596, 3500.53, 31367.6
SIFT+SIFT, 33526, 395520, 2093, 4400.35, 39263.2
